instance,optimal
BUS-2632-0,71026.5
BUS-7896-0,210597.0
BUS-13160-0,348362.5
BUS-18424-0,485028.5
BUS-23688-0,624882.0
SBT-6255-0,160606.5
SBT-18765-0,481110.5
SBT-31275-0,801326.5
SBT-43785-0,1123620.0
SBT-56295-0,1447885.5
SUBWAY-308-0,8835.0
SUBWAY-486-0,13543.0
