instance,solver,gpu,outcome,probe_iters,mem_gb,vram_gb,time_wall,status,detail
grid13,highs,cpu,ok,3,49.775,,531.115,Model status        : Iteration limit reached,
grid13,mosek,cpu,ok,3,6.443,,47.657,Interior-point solution summary,
grid14,copt-cpu,cpu,ok,3,10.751,,111.833,Status: IterLimit,
grid14,copt-gpu,gpu,ok,3,8.199,5.506,83.497,Status: IterLimit,
grid14,cuopt,gpu,ok,3,7.881,11.287,88.239,,
grid14,highs,cpu,error,3,104.8,,223.083,,"peak at failure, not at completion (rc=137)"
grid14,mosek,cpu,ok,3,12.652,,107.458,Interior-point solution summary,
grid15,copt-cpu,cpu,ok,3,10.753,,113.726,Status: IterLimit,
grid15,copt-gpu,gpu,ok,3,8.2,5.506,83.349,Status: IterLimit,
grid15,cuopt,gpu,ok,3,7.876,11.287,88.036,,
grid15,highs,cpu,error,3,104.799,,221.359,,"peak at failure, not at completion (rc=137)"
grid15,mosek,cpu,ok,3,12.671,,104.536,Interior-point solution summary,
grid2,copt-cpu,cpu,ok,3,0.017,,0.616,Status: IterLimit,
grid2,copt-gpu,gpu,ok,3,0.415,0.219,1.087,Status: IterLimit,
grid2,cuopt,gpu,ok,3,0.587,0.41,0.724,,
grid2,highs,cpu,ok,3,0.018,,0.116,Model status        : Iteration limit reached,
grid2,mosek,cpu,ok,3,0.02,,0.057,Interior-point solution summary,
grid3,copt-cpu,cpu,ok,3,0.057,,0.779,Status: IterLimit,
grid3,copt-gpu,gpu,ok,3,0.437,0.244,1.209,Status: IterLimit,
grid3,cuopt,gpu,ok,3,0.626,0.41,0.828,,
grid3,highs,cpu,ok,3,0.078,,0.676,Model status        : Iteration limit reached,
grid3,mosek,cpu,ok,3,0.061,,0.248,Interior-point solution summary,
grid4,copt-cpu,cpu,ok,3,0.076,,0.873,Status: IterLimit,
grid4,copt-gpu,gpu,ok,3,0.44,0.244,1.250,Status: IterLimit,
grid4,cuopt,gpu,ok,3,0.634,0.41,0.879,,
grid4,highs,cpu,ok,3,0.112,,1.045,Model status        : Iteration limit reached,
grid4,mosek,cpu,ok,3,0.093,,0.400,Interior-point solution summary,
grid5,copt-cpu,cpu,ok,3,0.197,,1.409,Status: IterLimit,
grid5,copt-gpu,gpu,ok,3,0.477,0.287,3.376,Status: IterLimit,
grid5,cuopt,gpu,ok,3,0.836,0.537,1.562,,
grid5,highs,cpu,ok,3,0.39,,6.553,Model status        : Iteration limit reached,
grid5,mosek,cpu,ok,3,0.318,,1.297,Interior-point solution summary,
grid6,copt-cpu,cpu,ok,3,0.245,,1.813,Status: IterLimit,
