family,instance,formulation,solver,iteration,ub,lb,lp_obj,n_col,n_row,n_slk,added_col,removed_col,added_cut,removed_cut,col_committed,t_lp,t_pricing,t_separation,t_iter,t_acc
grid,grid1,path,mosek,5,inf,820170.0,935240.0,137,61,4,9,0,0,0,True,0.001,0.0,0.0,0.001,0.012
grid,grid1,path,mosek,6,827490.0,826910.0,827490.0,138,61,0,1,0,0,0,True,0.001,0.0,0.0,0.001,0.013
grid,grid1,path,mosek,7,827490.0,827320.0,827320.0,138,62,0,0,0,1,0,True,0.001,0.0,0.0,0.001,0.014
grid,grid1,path,mosek,8,827410.0,827320.0,827410.0,137,60,0,1,2,0,2,True,0.001,0.0,0.0,0.001,0.015
grid,grid1,path,mosek,9,827320.0,827320.0,827320.0,137,60,0,0,0,0,0,False,0.001,0.0,0.0,0.001,0.016
grid,grid1,tree,copt-cpu,1,inf,820170.0,2300.0,46,23,23,0,0,0,0,True,0.004,0.0,0.0,0.005,0.005
grid,grid1,tree,copt-cpu,2,inf,820170.0,23000.0,46,23,23,0,0,0,0,True,0.004,0.0,0.0,0.004,0.009
grid,grid1,tree,copt-cpu,3,inf,820170.0,207340.0,46,23,19,0,0,0,0,True,0.003,0.0,0.0,0.003,0.012
grid,grid1,tree,copt-cpu,4,inf,820170.0,819210.0,46,29,1,0,0,6,0,True,0.003,0.0,0.0,0.003,0.015
grid,grid1,tree,copt-cpu,5,inf,820170.0,980730.0,57,32,5,11,0,3,0,True,0.003,0.0,0.0,0.003,0.018
grid,grid1,tree,copt-cpu,6,inf,820170.0,1101500.0,70,35,7,13,0,3,0,True,0.004,0.0,0.0,0.004,0.022
grid,grid1,tree,copt-cpu,7,inf,820170.0,1208500.0,78,35,3,8,0,0,0,True,0.004,0.0,0.0,0.004,0.026
grid,grid1,tree,copt-cpu,8,828640.0,820170.0,828640.0,80,35,0,2,0,0,0,True,0.003,0.0,0.0,0.003,0.03
grid,grid1,tree,copt-cpu,9,827500.0,826890.0,827500.0,82,35,0,2,0,0,0,True,0.004,0.0,0.0,0.004,0.034
grid,grid1,tree,copt-cpu,10,827360.0,826990.0,827360.0,84,34,0,2,0,0,1,True,0.004,0.0,0.0,0.004,0.038
grid,grid1,tree,copt-cpu,11,827320.0,827320.0,827320.0,84,34,0,0,0,0,0,False,0.003,0.0,0.0,0.003,0.041
grid,grid1,tree,copt-gpu,1,inf,820170.0,2300.0,46,23,23,0,0,0,0,True,0.243,0.0,0.0,0.243,0.243
grid,grid1,tree,copt-gpu,2,inf,820170.0,23000.0,46,23,23,0,0,0,0,True,0.022,0.0,0.0,0.022,0.265
grid,grid1,tree,copt-gpu,3,inf,820170.0,207340.0,46,23,19,0,0,0,0,True,0.021,0.0,0.0,0.021,0.286
grid,grid1,tree,copt-gpu,4,inf,820170.0,819210.0,46,29,1,0,0,6,0,True,0.023,0.0,0.0,0.024,0.31
grid,grid1,tree,copt-gpu,5,inf,820170.0,980730.0,57,32,5,11,0,3,0,True,0.021,0.0,0.0,0.021,0.331
grid,grid1,tree,copt-gpu,6,inf,820170.0,1101500.0,70,35,7,13,0,3,0,True,0.024,0.0,0.0,0.024,0.356
grid,grid1,tree,copt-gpu,7,inf,820170.0,1208500.0,78,35,3,8,0,0,0,True,0.026,0.0,0.0,0.026,0.382
grid,grid1,tree,copt-gpu,8,828640.0,820170.0,828640.0,80,35,0,2,0,0,0,True,0.026,0.0,0.0,0.026,0.408
grid,grid1,tree,copt-gpu,9,827500.0,826890.0,827500.0,82,35,0,2,0,0,0,True,0.03,0.0,0.0,0.03,0.438
grid,grid1,tree,copt-gpu,10,827360.0,826990.0,827360.0,84,34,0,2,0,0,1,True,0.028,0.0,0.0,0.029,0.467
grid,grid1,tree,copt-gpu,11,827320.0,827320.0,827320.0,84,34,0,0,0,0,0,False,0.029,0.0,0.0,0.029,0.495
grid,grid1,tree,cuopt,1,inf,820170.0,2300.0,46,23,23,0,0,0,0,True,0.427,0.0,0.0,0.427,0.427
grid,grid1,tree,cuopt,2,inf,820170.0,23000.0,46,23,23,0,0,0,0,True,0.026,0.0,0.0,0.027,0.454
grid,grid1,tree,cuopt,3,inf,820170.0,207340.0,46,23,19,0,0,0,0,True,0.023,0.0,0.0,0.023,0.476
grid,grid1,tree,cuopt,4,inf,820170.0,819210.0,46,29,1,0,0,6,0,True,0.02,0.0,0.0,0.02,0.496
grid,grid1,tree,cuopt,5,inf,820170.0,980730.0,57,32,5,11,0,3,0,True,0.025,0.0,0.0,0.026,0.522
grid,grid1,tree,cuopt,6,inf,820170.0,1101500.0,70,35,7,13,0,3,0,True,0.027,0.0,0.0,0.027,0.549
grid,grid1,tree,cuopt,7,inf,820170.0,1208500.0,78,35,3,8,0,0,0,True,0.028,0.0,0.0,0.028,0.578
grid,grid1,tree,cuopt,8,828640.0,820170.0,828640.0,80,35,0,2,0,0,0,True,0.028,0.0,0.0,0.028,0.606
grid,grid1,tree,cuopt,9,827500.0,826890.0,827500.0,82,35,0,2,0,0,0,True,0.029,0.0,0.0,0.029,0.635
grid,grid1,tree,cuopt,10,827360.0,826990.0,827360.0,84,34,0,2,0,0,1,True,0.028,0.0,0.0,0.028,0.663
grid,grid1,tree,cuopt,11,827320.0,827320.0,827320.0,84,34,0,0,0,0,0,False,0.028,0.0,0.0,0.028,0.692
grid,grid1,tree,highs,1,inf,820170.0,2300.0,46,23,23,0,0,0,0,True,0.004,0.005,0.0,0.009,0.009
grid,grid1,tree,highs,2,inf,820170.0,23000.0,46,23,23,0,0,0,0,True,0.013,0.0,0.0,0.014,0.023
grid,grid1,tree,highs,3,inf,820170.0,207340.0,46,23,19,0,0,0,0,True,0.012,0.0,0.0,0.013,0.036
grid,grid1,tree,highs,4,inf,820170.0,819210.0,46,29,1,0,0,6,0,True,0.012,0.0,0.0,0.012,0.048
grid,grid1,tree,highs,5,inf,820170.0,980730.0,57,32,5,11,0,3,0,True,0.001,0.0,0.0,0.002,0.049
grid,grid1,tree,highs,6,inf,820170.0,1101500.0,70,35,7,13,0,3,0,True,0.001,0.0,0.0,0.001,0.051
grid,grid1,tree,highs,7,inf,820170.0,1208500.0,78,35,3,8,0,0,0,True,0.002,0.0,0.0,0.002,0.053
grid,grid1,tree,highs,8,828640.0,820170.0,828640.0,80,35,0,2,0,0,0,True,0.001,0.0,0.0,0.002,0.054
grid,grid1,tree,highs,9,827500.0,826890.0,827500.0,82,35,0,2,0,0,0,True,0.002,0.0,0.0,0.004,0.058
grid,grid1,tree,highs,10,827360.0,826990.0,827360.0,84,34,0,2,0,0,1,True,0.004,0.0,0.0,0.005,0.063
grid,grid1,tree,highs,11,827320.0,827320.0,827320.0,84,34,0,0,0,0,0,False,0.001,0.002,0.0,0.003,0.066
grid,grid1,tree,mosek,1,inf,820170.0,2300.0,46,23,23,0,0,0,0,True,0.008,0.0,0.0,0.009,0.009
grid,grid1,tree,mosek,2,inf,820170.0,23000.0,46,23,23,0,0,0,0,True,0.0,0.0,0.0,0.0,0.009
grid,grid1,tree,mosek,3,inf,820170.0,207340.0,46,23,19,0,0,0,0,True,0.0,0.0,0.0,0.0,0.009
grid,grid1,tree,mosek,4,inf,820170.0,819210.0,46,29,1,0,0,6,0,True,0.0,0.0,0.0,0.0,0.01
grid,grid1,tree,mosek,5,inf,820170.0,980730.0,57,32,5,11,0,3,0,True,0.001,0.0,0.0,0.001,0.01
grid,grid1,tree,mosek,6,inf,820170.0,1101500.0,70,35,7,13,0,3,0,True,0.001,0.0,0.0,0.001,0.011
grid,grid1,tree,mosek,7,inf,820170.0,1208500.0,78,35,3,8,0,0,0,True,0.001,0.0,0.0,0.001,0.012
grid,grid1,tree,mosek,8,828640.0,820170.0,828640.0,80,35,0,2,0,0,0,True,0.001,0.0,0.0,0.001,0.013
grid,grid1,tree,mosek,9,827500.0,826890.0,827500.0,82,35,0,2,0,0,0,True,0.001,0.0,0.0,0.001,0.014
grid,grid1,tree,mosek,10,827360.0,826990.0,827360.0,84,35,0,2,0,0,0,True,0.001,0.0,0.0,0.001,0.015
grid,grid1,tree,mosek,11,827320.0,827320.0,827320.0,84,35,0,0,0,0,0,False,0.001,0.0,0.0,0.001,0.015
grid,grid10,path,copt-cpu,1,inf,162210000.0,11189000.0,4000,2000,1987,0,0,0,0,True,0.012,0.005,0.0,0.017,0.017
grid,grid10,path,copt-cpu,2,inf,162210000.0,99736000.0,4000,2000,1410,0,0,0,0,True,0.013,0.005,0.0,0.019,0.035
grid,grid10,path,copt-cpu,3,inf,162210000.0,162210000.0,4000,2320,0,0,0,320,0,True,0.01,0.003,0.0,0.013,0.049
grid,grid10,path,copt-cpu,4,inf,162210000.0,393750000.0,5453,2320,742,1453,0,0,0,True,0.079,0.002,0.0,0.082,0.131
grid,grid10,path,copt-cpu,5,inf,162210000.0,819980000.0,6926,2339,606,1473,0,19,0,True,0.112,0.002,0.0,0.116,0.247
grid,grid10,path,copt-cpu,6,inf,162210000.0,639270000.0,8440,2406,340,1514,0,67,0,True,0.143,0.002,0.0,0.148,0.395
grid,grid10,path,copt-cpu,7,inf,162210000.0,269160000.0,9965,2458,163,1525,0,52,0,True,0.216,0.002,0.0,0.22,0.615
grid,grid10,path,copt-cpu,8,inf,162920000.0,164500000.0,11325,2499,0,1360,0,41,0,True,0.319,0.002,0.0,0.324,0.939
grid,grid10,path,copt-cpu,9,inf,163750000.0,164320000.0,12244,2451,0,1144,225,24,72,True,0.397,0.002,0.0,0.405,1.344
grid,grid10,path,copt-cpu,10,inf,163900000.0,164220000.0,12750,2471,0,1001,495,20,0,True,0.35,0.002,0.0,0.356,1.7
grid,grid10,path,copt-cpu,11,inf,163990000.0,164160000.0,12882,2479,0,901,769,13,5,True,0.349,0.002,0.0,0.358,2.057
grid,grid10,path,copt-cpu,12,inf,164050000.0,164140000.0,12468,2475,0,695,1109,6,10,True,0.355,0.002,0.0,0.364,2.422
grid,grid10,path,copt-cpu,13,inf,164070000.0,164120000.0,11324,2462,0,537,1681,9,22,True,0.34,0.002,0.0,0.347,2.769
grid,grid10,path,copt-cpu,14,inf,164090000.0,164110000.0,10244,2450,0,422,1502,3,15,True,0.332,0.002,0.0,0.34,3.109
grid,grid10,path,copt-cpu,15,inf,164100000.0,164110000.0,9544,2444,0,291,991,5,11,True,0.33,0.002,0.0,0.337,3.447
grid,grid10,path,copt-cpu,16,inf,164110000.0,164110000.0,8836,2436,0,125,833,4,12,True,0.306,0.002,0.0,0.312,3.759
grid,grid10,path,copt-cpu,17,164110000.0,164110000.0,164110000.0,8836,2436,0,15,0,0,0,False,0.32,0.002,0.0,0.322,4.081
grid,grid10,path,copt-gpu,1,inf,162210000.0,11189000.0,4000,2000,1987,0,0,0,0,True,0.286,0.004,0.0,0.29,0.29
grid,grid10,path,copt-gpu,2,inf,162210000.0,99736000.0,4000,2000,1410,0,0,0,0,True,0.028,0.004,0.0,0.032,0.322
grid,grid10,path,copt-gpu,3,inf,162210000.0,162210000.0,4000,2320,0,0,0,320,0,True,0.025,0.004,0.0,0.029,0.351
grid,grid10,path,copt-gpu,4,inf,162210000.0,393750000.0,5453,2320,742,1453,0,0,0,True,0.101,0.003,0.0,0.105,0.456
grid,grid10,path,copt-gpu,5,inf,162210000.0,819980000.0,6926,2339,606,1473,0,19,0,True,0.153,0.002,0.0,0.157,0.613
grid,grid10,path,copt-gpu,6,inf,162210000.0,639270000.0,8440,2406,340,1514,0,67,0,True,0.15,0.002,0.0,0.154,0.767
grid,grid10,path,copt-gpu,7,inf,162210000.0,269160000.0,9965,2458,163,1525,0,52,0,True,0.183,0.002,0.0,0.187,0.954
grid,grid10,path,copt-gpu,8,inf,162920000.0,164500000.0,11325,2499,0,1360,0,41,0,True,0.249,0.002,0.0,0.253,1.207
grid,grid10,path,copt-gpu,9,inf,163750000.0,164320000.0,12244,2451,0,1144,225,24,72,True,0.264,0.002,0.0,0.27,1.477
grid,grid10,path,copt-gpu,10,inf,163900000.0,164220000.0,12750,2471,0,1001,495,20,0,True,0.243,0.002,0.0,0.248,1.725
grid,grid10,path,copt-gpu,11,inf,163990000.0,164160000.0,12882,2479,0,901,769,13,5,True,0.243,0.002,0.0,0.249,1.973
grid,grid10,path,copt-gpu,12,inf,164050000.0,164140000.0,12468,2475,0,695,1109,6,10,True,0.243,0.002,0.0,0.249,2.223
grid,grid10,path,copt-gpu,13,inf,164070000.0,164120000.0,11324,2461,0,537,1681,8,22,True,0.231,0.002,0.0,0.237,2.46
grid,grid10,path,copt-gpu,14,inf,164090000.0,164110000.0,10240,2451,0,429,1513,4,14,True,0.22,0.002,0.0,0.226,2.686
grid,grid10,path,copt-gpu,15,inf,164100000.0,164110000.0,9514,2443,0,278,1004,3,11,True,0.237,0.002,0.0,0.242,2.928
grid,grid10,path,copt-gpu,16,inf,164110000.0,164110000.0,8757,2436,0,92,849,5,12,True,0.208,0.002,0.0,0.212,3.141
grid,grid10,path,copt-gpu,17,164110000.0,164110000.0,164110000.0,8757,2436,0,21,0,0,0,False,0.22,0.001,0.0,0.222,3.362
grid,grid10,path,cuopt,1,inf,162210000.0,11189000.0,4000,2000,1990,0,0,0,0,True,0.53,0.005,0.0,0.535,0.535
grid,grid10,path,cuopt,2,inf,162210000.0,99736000.0,4000,2000,1463,0,0,0,0,True,0.073,0.004,0.0,0.078,0.613
grid,grid10,path,cuopt,3,inf,162210000.0,162210000.0,4000,2320,68,0,0,320,0,True,0.065,0.005,0.001,0.071,0.684
grid,grid10,path,cuopt,4,inf,162210000.0,406820000.0,5458,2320,711,1458,0,0,0,True,0.136,0.003,0.0,0.14,0.824
grid,grid10,path,cuopt,5,inf,162210000.0,900930000.0,6932,2334,650,1474,0,14,0,True,0.166,0.003,0.0,0.17,0.994
grid,grid10,path,cuopt,6,inf,162210000.0,534690000.0,8449,2415,319,1517,0,81,0,True,0.2,0.002,0.001,0.205,1.198
grid,grid10,path,cuopt,7,inf,162210000.0,317350000.0,9972,2454,151,1523,0,39,0,True,0.188,0.002,0.001,0.192,1.39
grid,grid10,path,cuopt,8,inf,163010000.0,164480000.0,11295,2506,0,1323,0,52,0,True,0.201,0.002,0.001,0.205,1.596
grid,grid10,path,cuopt,9,inf,163660000.0,164320000.0,12499,2514,0,1204,0,16,8,True,0.2,0.002,0.001,0.205,1.8
grid,grid10,path,cuopt,10,inf,163900000.0,164210000.0,13520,2533,0,1021,0,19,0,True,0.204,0.002,0.001,0.208,2.008
grid,grid10,path,cuopt,11,inf,164000000.0,164160000.0,14364,2540,0,844,0,12,5,True,0.198,0.002,0.001,0.202,2.211
grid,grid10,path,cuopt,12,inf,164060000.0,164130000.0,15017,2541,0,653,0,4,3,True,0.2,0.002,0.0,0.204,2.415
grid,grid10,path,cuopt,13,inf,164080000.0,164120000.0,15547,2544,0,530,0,5,2,True,0.231,0.002,0.0,0.236,2.651
grid,grid10,path,cuopt,14,inf,164100000.0,164110000.0,15988,2546,0,441,0,4,2,True,0.239,0.002,0.0,0.242,2.893
grid,grid10,path,cuopt,15,inf,164110000.0,164110000.0,16262,2508,0,277,3,2,40,True,0.267,0.002,0.0,0.272,3.165
grid,grid10,path,cuopt,16,164110000.0,164110000.0,164110000.0,16262,2508,0,224,0,0,0,False,0.276,0.002,0.0,0.279,3.444
grid,grid10,path,highs,1,inf,162210000.0,11189000.0,4000,2000,1987,0,0,0,0,True,0.058,0.003,0.0,0.063,0.063
grid,grid10,path,highs,2,inf,162210000.0,99736000.0,4000,2000,1410,0,0,0,0,True,0.044,0.004,0.0,0.049,0.111
grid,grid10,path,highs,3,inf,162210000.0,162210000.0,4000,2320,0,0,0,320,0,True,0.038,0.005,0.001,0.043,0.155
grid,grid10,path,highs,4,inf,162210000.0,393750000.0,5453,2320,743,1453,0,0,0,True,0.436,0.002,0.0,0.439,0.594
