instance,optimal
Austin,5438762.784
Barcelona,243.506
BerlinCenter,27529204.544
Birmingham,215645.118
ChicagoRegional,5513077.944
ChicagoSketch,6705856.428
Philadelphia,25577590.145
Sydney,4968208.895
Winnipeg,420.162
