# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/intermodal/BUS-13160-0.txt.gz --solver mosek --formulation path --max-iters 10000 --strategy pricer-heavy --time-limit 7200.0
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
Instance: 140925 vertices, 1023858 arcs, 13135 commodities, 13135 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=13135, capped_arcs=836960)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot     t_acc
    1          inf         -inf   3.3868e+05  26270  13208   783      0      0     73      0   0.024   0.000   0.072   0.097     0.097
    2          inf         -inf   3.4174e+05  26944  13208  1041    674      0      0      0   0.036   0.093   0.070   0.202     0.299
    3          inf         -inf   3.4914e+05  26944  13259    73      0      0     51      0   0.045   0.000   0.071   0.116     0.415
    4          inf         -inf   3.5030e+05  26944  13261   145      0      0      2      0   0.059   0.000   0.071   0.130     0.545
    5          inf         -inf   3.5030e+05  26990  13261   146     46      0      0      0   0.063   0.031   0.072   0.166     0.711
    6          inf         -inf   3.5645e+05  26990  13262   163      0      0      1      0   0.065   0.000   0.071   0.137     0.848
    7          inf         -inf   3.5647e+05  27024  13231   162     34      0      0     31   0.065   0.033   0.073   0.171     1.018
    8          inf         -inf   3.8517e+05  27024  13233   115      0      0      2      0   0.056   0.000   0.073   0.130     1.148
    9          inf         -inf   3.8518e+05  27085  13192   118     61      0      0     41   0.065   0.035   0.072   0.172     1.320
   10          inf         -inf   3.9484e+05  27085  13200   127      0      0      8      0   0.063   0.000   0.071   0.134     1.454
   11          inf         -inf   3.9487e+05  27172  13197   128     87      0      0      3   0.060   0.042   0.070   0.174     1.628
   12          inf         -inf   3.8455e+05  27172  13204    87      0      0      7      0   0.078   0.000   0.072   0.150     1.778
   13          inf         -inf   3.8456e+05  27262  13202    91     90      0      0      2   0.073   0.059   0.075   0.209     1.987
   14          inf         -inf   3.8882e+05  27262  13211    76      0      0      9      0   0.073   0.000   0.075   0.148     2.135
   15          inf         -inf   3.8956e+05  27417  13211    84    155      0      0      0   0.076   0.054   0.071   0.201     2.337
   16          inf         -inf   3.6220e+05  27417  13225    28      0      0     14      0   0.077   0.000   0.072   0.149     2.485
   17          inf         -inf   3.7727e+05  27587  13218    51    170      0      0      7   0.085   0.055   0.071   0.211     2.697
   18          inf         -inf   3.8237e+05  27587  13229    17      0      0     11      0   0.077   0.000   0.074   0.151     2.848
   19          inf         -inf   3.8238e+05  27587  13234    17      0      0      5      0   0.094   0.000   0.072   0.166     3.014
   20          inf         -inf   3.8238e+05  27602  13227    17     15      0      0      7   0.092   0.032   0.072   0.197     3.211
   21          inf         -inf   3.9276e+05  27602  13230    15      0      0      3      0   0.092   0.000   0.070   0.163     3.374
   22          inf         -inf   3.9276e+05  27603  13217    15      1      0      0     13   0.095   0.035   0.073   0.204     3.578
   23          inf   1.5769e+05   3.9287e+05  28079  13209    15    476      0      0      8   0.088   0.437   0.070   0.596     4.174
   24          inf   1.5769e+05   3.4836e+05  28079  13233     0      0      0     24      0   0.088   0.000   0.071   0.160     4.334
   25          inf   1.5769e+05   3.4841e+05  28079  13234     1      0      0      1      0   0.101   0.000   0.073   0.175     4.509
   26          inf   1.5769e+05   3.4841e+05  28093  13231     1     14      0      0      3   0.100   0.032   0.070   0.203     4.712
   27          inf   1.5769e+05   3.4840e+05  28093  13232     0      0      0      1      0   0.104   0.000   0.071   0.175     4.887
   28   3.4840e+05   3.4826e+05   3.4840e+05  28167  13231     0     74      0      0      1   0.110   0.441   0.074   0.625     5.512
   29   3.4836e+05   3.4832e+05   3.4836e+05  28185  13213     0     18      0      0     18   0.104   0.402   0.071   0.578     6.090
   30   3.4836e+05   3.4832e+05   3.4836e+05  28185  13218     0      0      0      5      0   0.091   0.000   0.071   0.162     6.252
   31   3.4836e+05   3.4834e+05   3.4836e+05  28185  13218     0     *1      0      0      0   0.092   0.443   0.071   0.605     6.858
CG optimal after 31 iterations. UB=348361.500002 LB=348338.062339 gap=2.344e+01 tol=3.484e+01  t_LP=2.386  t_PR=2.694  t_SP=2.222  t_Tot=7.329

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/intermodal/BUS-13160-0.txt.gz,path,31,15050,348361.500002,348338.062339,1,7.550,2.386,2.694,2.222
