instance,optimal
grid1,827319.0
grid2,1705378.0
grid3,1524642.0
grid4,3031695.0
grid5,5049688.5
grid6,10401782.0
grid7,25864036.571
grid8,41711150.624
grid9,82652982.047
grid10,164110897.177
grid11,329258288.490
grid12,577186503.577
grid13,1159320960.713
grid14,1802673008.461
grid15,3593521779.918
