sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,bounded_enabled,cut,priced,cut_rate_pct,per_price_us
intermodal_path_tree,intermodal,BUS-18424-0,path,cuopt,on,rep1,18388,18388,1.0,39,20997,485028.457988,485021.056724,1,gap,13.962,6.488,3.916,3.519,1,55811,76819,72.65259896640154,50.976971842903446
intermodal_path_tree,intermodal,BUS-18424-0,path,highs,off,rep1,18388,18388,1.0,19,21281,485025.502145,484993.522556,1,gap,32.853,26.567,4.531,1.737,0,0,94482,0.0,47.956224466035856
intermodal_path_tree,intermodal,BUS-18424-0,path,highs,off,rep2,18388,18388,1.0,20,21259,485025.503093,484993.534054,1,gap,33.85,27.738,4.313,1.78,0,0,94612,0.0,45.586183570794404
intermodal_path_tree,intermodal,BUS-18424-0,path,highs,off,rep3,18388,18388,1.0,26,21222,485025.502234,484993.490711,1,gap,43.187,36.282,4.509,2.371,0,0,94901,0.0,47.51267109935617
intermodal_path_tree,intermodal,BUS-18424-0,path,highs,on,rep1,18388,18388,1.0,40,21018,485026.500191,485022.888151,1,gap,71.174,63.638,3.904,3.597,1,56158,77180,72.76237367193573,50.583052604301635
intermodal_path_tree,intermodal,BUS-18424-0,path,mosek,off,rep1,18388,18388,1.0,23,21126,485029.316004,484987.9764,1,gap,8.688,2.812,3.703,2.146,0,0,76384,0.0,48.47873900293255
intermodal_path_tree,intermodal,BUS-18424-0,path,mosek,on,rep1,18388,18388,1.0,26,20894,485026.541104,485021.110768,1,gap,9.034,2.92,3.738,2.347,1,56325,77225,72.93622531563612,48.40401424409194
intermodal_path_tree,intermodal,BUS-18424-0,tree,copt-cpu,off,rep1,18388,18388,1.0,42,21146,485027.000001,484990.000799,1,gap,10.172,1.339,4.808,3.985,0,0,94553,0.0,50.84978794961556
intermodal_path_tree,intermodal,BUS-18424-0,tree,copt-cpu,on,rep1,18388,18388,1.0,32,20906,485032.000322,485007.798403,1,gap,7.745,0.976,3.724,3.012,1,55124,76055,72.4791269476037,48.96456511734929
intermodal_path_tree,intermodal,BUS-18424-0,tree,copt-gpu,off,rep1,18388,18388,1.0,33,21144,485025.500001,484993.074018,1,gap,10.329,2.723,4.484,3.091,0,0,94273,0.0,47.563989689518735
intermodal_path_tree,intermodal,BUS-18424-0,tree,copt-gpu,on,rep1,18388,18388,1.0,32,20906,485032.000103,485007.944257,1,gap,9.325,2.563,3.712,3.017,1,55124,76055,72.4791269476037,48.80678456380251
intermodal_path_tree,intermodal,BUS-18424-0,tree,cuopt,off,rep1,18388,18388,1.0,20,21123,485025.503958,484993.525232,1,gap,9.74,3.209,4.602,1.906,0,0,94611,0.0,48.64127849827187
intermodal_path_tree,intermodal,BUS-18424-0,tree,cuopt,on,rep1,18388,18388,1.0,37,21021,485026.697207,485023.601364,1,gap,13.884,6.246,4.061,3.535,1,55910,76935,72.67173588093846,52.78481835315526
