sweep,family,instance,formulation,solver,per_source,reps_off,reps_on,t_tot_off,t_tot_on,d_t_tot_pct,t_pr_off,t_pr_on,d_t_pr_pct,per_price_us_off,per_price_us_on,d_per_price_pct,iters_off,iters_on,cols_off,cols_on,priced_off,priced_on,traj_moved,traj_stable,pricing_share_pct,cut_rate_pct,pred_wall_pct,obj_off,obj_on,d_obj_rel,lb_delta,exit_off,exit_on,spread_off_pct
gridplanar_path_tree,grid,grid1,path,copt-gpu,2.1739130434782608,3,3,1.513,1.575,4.0978189028420395,0.003,0.003,0.0,9.316770186335404,9.316770186335404,0.0,9,9,88,88,322,322,0,1,0.19828155981493722,86.0248447204969,0.0,827319.000001,827319.000001,0.0,0.5319829999934882,gap,gap,33.333333333333336
gridplanar_path_tree,grid,grid1,tree,copt-gpu,2.1739130434782608,3,3,1.803,1.863,3.327787021630619,0.003,0.003,0.0,7.672634271099744,7.672634271099744,0.0,11,11,61,61,391,391,0,1,0.16638935108153077,84.39897698209718,0.0,827319.0,827319.0,0.0,0.5319829999934882,gap,gap,0.0
gridplanar_path_tree,grid,grid10,path,copt-gpu,3.372681281618887,3,3,5.824,6.271,7.675137362637363,0.051,0.049,-3.9215686274509705,3.934794828555368,3.442945474985947,-12.500000000000002,17,18,6812,6231,12453,14232,1,0,0.8756868131868132,60.29370432827431,-0.10946085164835166,164110897.954965,164110896.961477,6.053759965500055e-09,164.51278799772263,gap,gap,3.9215686274509705
gridplanar_path_tree,grid,grid10,tree,copt-gpu,3.372681281618887,3,3,8.805,8.034,-8.756388415672903,0.081,0.065,-19.753086419753085,3.967860331316338,3.321580050079207,-16.287878787878793,29,27,3580,3873,20755,19569,1,0,0.9199318568994889,44.23482293423272,-0.1498373857828713,164110904.895253,164111061.831262,9.562802002095987e-07,-1123.1217370033264,gap,gap,4.938271604938276
gridplanar_path_tree,grid,grid11,path,copt-gpu,6.4,3,3,5.239,5.344,2.004199274670747,0.055,0.059,7.272727272727267,4.888888888888889,4.8,-1.8181818181818297,15,16,9219,9219,11250,12500,1,0,1.0498186676846726,59.376,-0.01908761213972144,329258288.241195,329258288.241195,0.0,95.36137598752975,gap,gap,20.000000000000007
gridplanar_path_tree,grid,grid11,tree,copt-gpu,6.4,3,3,7.415,6.503,-12.299393122049898,0.091,0.074,-18.681318681318682,4.55,3.9466666666666668,-13.260073260073256,26,24,4256,4473,20000,18750,1,0,1.227242076871207,39.310344827586206,-0.16273319847156656,329258297.788487,329258799.491108,1.5237356942949807e-06,-2661.1550139784813,gap,gap,7.6923076923077
gridplanar_path_tree,grid,grid12,path,copt-gpu,6.674082313681868,3,3,4.612,4.644,0.6938421509106685,0.083,0.083,0.0,6.594628952804704,6.594628952804704,0.0,12,12,14179,14179,12586,12586,0,0,1.7996530789245448,52.7888129667885,0.0,577186506.663575,577186506.663572,5.369913351295451e-15,162.9224659204483,gap,gap,4.819277108433722
gridplanar_path_tree,grid,grid12,tree,copt-gpu,6.674082313681868,3,3,5.994,6.246,4.204204204204215,0.159,0.126,-20.754716981132077,6.7564783916285585,5.026160754748074,-25.60975609756098,21,22,5055,4660,24273,25172,1,0,2.6526526526526526,50.42507548069283,-0.6793378744598257,577186510.382103,577186510.836437,7.871528742309839e-10,234.8244550228119,gap,gap,10.691823899371078
gridplanar_path_tree,grid,grid13,path,copt-gpu,13.333333333333334,3,3,7.689,7.524,-2.145922746781116,0.095,0.095,0.0,7.5396825396825395,7.5396825396825395,0.0,12,12,33255,33255,12600,12600,0,1,1.2355312784497334,41.992063492063494,0.0,1159320977.891658,1159320977.891663,4.318726441264062e-15,176.1123080253601,gap,gap,13.684210526315788
gridplanar_path_tree,grid,grid13,tree,copt-gpu,13.333333333333334,3,3,10.637,10.7,0.5922722572153692,0.217,0.172,-20.737327188940096,7.091503267973856,5.620915032679738,-20.737327188940093,27,27,7048,7048,30600,30600,0,0,2.0400488859640875,36.08169934640523,-0.4230516122967002,1159321656.055747,1159321493.280029,1.4040600132279586e-07,1807.720332145691,gap,gap,9.677419354838706
gridplanar_path_tree,grid,grid14,path,copt-gpu,13.061224489795919,3,3,5.975,6.074,1.65690376569038,0.15,0.159,6.000000000000005,10.204081632653061,10.816326530612244,5.999999999999994,10,10,46854,46854,14700,14700,0,1,2.5104602510460254,46.863945578231295,0.15062761506276137,1802673131.43532,1802673131.435329,5.0258174085313624e-15,263.26210713386536,gap,gap,6.666666666666673
gridplanar_path_tree,grid,grid14,tree,copt-gpu,13.061224489795919,3,3,6.839,8.757,28.045035823950858,0.322,0.281,-12.732919254658379,10.037792894935752,7.50493745885451,-25.233190827827432,19,23,9023,8215,31850,36750,1,0,4.7082906857727735,45.40952380952381,-1.1880519734698687,1802716257.4321,1802673016.340676,2.3986631975895983e-05,77632.5727159977,gap,gap,5.590062111801247
gridplanar_path_tree,grid,grid15,path,copt-gpu,26.122448979591837,3,3,11.789,11.473,-2.680464840105174,0.191,0.189,-1.0471204188481684,11.993720565149136,11.868131868131869,-1.0471204188481595,11,11,81874,81874,15925,15925,0,1,1.6201543812028163,45.81475667189953,-0.01696496734243774,3593521818.095512,3593521818.095518,1.725016118011466e-15,300.4184489250183,gap,gap,20.942408376963353
gridplanar_path_tree,grid,grid15,tree,copt-gpu,26.122448979591837,3,3,13.28,11.791,-11.212349397590353,0.475,0.333,-29.894736842105257,11.377551020408163,8.494897959183673,-25.336322869955158,27,25,9513,9505,41650,39200,1,0,3.576807228915663,37.63520408163265,-0.9062314279539685,3593529302.234959,3593666713.987979,3.823866217936442e-05,-100654.5268740654,gap,gap,9.052631578947365
gridplanar_path_tree,grid,grid2,path,copt-gpu,4.0,3,3,1.376,1.422,3.3430232558139568,0.003,0.003,0.0,10.909090909090908,10.909090909090908,0.0,8,8,233,233,275,275,0,1,0.2180232558139535,68.0,0.0,1705378.0,1705378.0,0.0,0.7426810001488775,gap,gap,33.333333333333336
gridplanar_path_tree,grid,grid2,tree,copt-gpu,4.0,3,3,2.362,2.524,6.858594411515661,0.003,0.004,33.333333333333336,6.0,8.0,33.333333333333336,14,15,150,150,500,525,1,0,0.12701100762066045,66.28571428571429,0.04233700254022016,1705375.0,1705381.362162,3.7306527889959714e-06,0.7426810001488775,gap,gap,200.0
gridplanar_path_tree,grid,grid3,path,copt-gpu,1.25,3,3,1.408,1.232,-12.499999999999996,0.003,0.004,33.333333333333336,5.769230769230769,9.090909090909092,57.57575757575759,8,7,90,88,520,440,1,1,0.21306818181818182,83.18181818181819,0.12267561983471077,1524642.001492,1524748.0,6.952353922843445e-05,-44.56440700008534,gap,gap,200.0
gridplanar_path_tree,grid,grid3,tree,copt-gpu,1.25,3,3,1.53,1.532,0.13071895424836613,0.003,0.003,0.0,5.357142857142857,5.357142857142857,0.0,9,9,82,82,560,560,0,1,0.19607843137254902,85.17857142857143,0.0,1524730.000006,1524730.000006,0.0,1.4357880000025034,gap,gap,66.66666666666667
gridplanar_path_tree,grid,grid4,path,copt-gpu,1.5873015873015872,3,3,1.422,1.451,2.0393811533052135,0.003,0.003,0.0,3.9682539682539684,3.9682539682539684,0.0,8,8,237,237,756,756,0,1,0.2109704641350211,78.83597883597884,0.0,3031695.001622,3031695.001622,0.0,2.4897819999605417,gap,gap,33.333333333333336
gridplanar_path_tree,grid,grid4,tree,copt-gpu,1.5873015873015872,3,3,2.027,2.05,1.1346817957572612,0.003,0.005,66.66666666666667,2.8011204481792715,4.6685340802987865,66.66666666666669,12,12,220,220,1071,1071,0,1,0.14800197335964477,78.99159663865547,0.09866798223976321,3031712.000015,3031712.000015,0.0,2.4346260000020266,gap,gap,33.333333333333336
gridplanar_path_tree,grid,grid5,path,copt-gpu,1.2048192771084338,3,3,1.626,1.641,0.9225092250922586,0.003,0.004,33.333333333333336,3.0120481927710845,4.016064257028113,33.333333333333336,9,9,268,268,996,996,0,0,0.18450184501845018,75.3012048192771,0.06150061500615006,5049726.0,5049726.0,0.0,4.661913000047207,gap,gap,33.333333333333336
gridplanar_path_tree,grid,grid5,tree,copt-gpu,1.2048192771084338,3,3,2.256,2.279,1.0195035460992967,0.005,0.005,0.0,3.170577045022194,3.170577045022194,0.0,13,13,260,260,1577,1577,0,1,0.22163120567375888,82.11794546607483,0.0,5049688.500151,5049688.500151,0.0,5.1659569991752505,gap,gap,40.0
gridplanar_path_tree,grid,grid6,path,copt-gpu,1.4814814814814814,3,3,2.512,2.575,2.507961783439497,0.005,0.005,0.0,2.314814814814815,2.314814814814815,0.0,13,13,787,762,2160,2160,1,0,0.19904458598726116,64.95370370370371,0.0,10401834.441074,10401730.149661,1.0026251964560714e-05,346.69576199911535,gap,gap,0.0
gridplanar_path_tree,grid,grid6,tree,copt-gpu,1.4814814814814814,3,3,3.394,3.42,0.7660577489687626,0.007,0.007,0.0,2.254428341384863,2.1604938271604937,-4.166666666666666,18,18,561,571,3105,3105,1,0,0.20624631703005306,68.34138486312399,-0.008593596542918877,10401080.640617,10401047.716525,3.165449162251402e-06,-52.44473900087178,gap,gap,14.285714285714286
gridplanar_path_tree,grid,grid7,path,copt-gpu,1.6194331983805668,3,3,2.289,2.325,1.5727391874180878,0.012,0.01,-16.666666666666668,3.2388663967611335,2.5569997869166845,-21.052631578947363,11,11,1473,1473,3705,3705,0,0,0.5242463958060288,69.01484480431849,-0.11036766227495341,25864203.139016,25864203.139016,0.0,18.904833998531103,gap,gap,8.333333333333341
gridplanar_path_tree,grid,grid7,tree,copt-gpu,1.6194331983805668,3,3,2.963,2.897,-2.227472156598052,0.016,0.012,-25.0,2.91497975708502,2.42914979757085,-16.66666666666667,15,15,1014,1059,4940,4940,1,0,0.5399932500843739,71.3157894736842,-0.08999887501406235,25864036.582236,25864141.670453,4.063101931799203e-06,-15.148201998323202,gap,gap,24.99999999999999
gridplanar_path_tree,grid,grid8,path,copt-gpu,1.4577259475218658,3,3,4.203,4.392,4.496788008565312,0.03,0.029,-3.333333333333325,4.0087463556851315,3.522837706511176,-12.12121212121213,17,19,1824,1571,7203,8232,1,0,0.7137758743754461,66.65451895043732,-0.08651828780308443,41711146.809954,41711151.022759,1.0099950055729109e-07,212.49953400343657,gap,gap,23.333333333333343
