sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,bounded_enabled,cut,priced,cut_rate_pct,per_price_us
gridplanar_path_tree,grid,grid11,path,copt-gpu,off,rep2,4000,625,6.4,16,9250,329258288.241195,329257909.729995,1,gap,5.555,5.428,0.061,0.018,0,0,12500,0.0,4.88
gridplanar_path_tree,grid,grid11,path,copt-gpu,off,rep3,4000,625,6.4,15,9219,329258288.927535,329257908.044698,1,gap,5.19,5.066,0.057,0.017,0,0,11250,0.0,5.066666666666666
gridplanar_path_tree,grid,grid11,path,copt-gpu,on,rep1,4000,625,6.4,16,9219,329258288.241196,329258004.742835,1,gap,5.652,5.524,0.064,0.017,1,7422,12500,59.376,5.12
gridplanar_path_tree,grid,grid11,path,copt-gpu,on,rep2,4000,625,6.4,15,9211,329258288.866073,329258004.396954,1,gap,5.191,5.076,0.052,0.017,1,6203,11250,55.13777777777778,4.622222222222222
gridplanar_path_tree,grid,grid11,path,copt-gpu,on,rep3,4000,625,6.4,14,9746,329258292.041666,329257921.615996,1,gap,4.826,4.718,0.049,0.016,1,4995,10000,49.95,4.9
gridplanar_path_tree,grid,grid11,tree,copt-gpu,off,rep1,4000,625,6.4,24,4468,329258833.567903,329254832.714542,1,gap,6.543,6.383,0.085,0.015,0,0,18750,0.0,4.533333333333333
gridplanar_path_tree,grid,grid11,tree,copt-gpu,off,rep2,4000,625,6.4,23,4528,329259723.373353,329249776.579505,1,gap,6.423,6.258,0.094,0.013,0,0,18125,0.0,5.186206896551724
gridplanar_path_tree,grid,grid11,tree,copt-gpu,off,rep3,4000,625,6.4,22,4605,329263392.676244,329239256.104968,1,gap,6.023,5.879,0.08,0.012,0,0,17500,0.0,4.571428571428571
gridplanar_path_tree,grid,grid11,tree,copt-gpu,on,rep1,4000,625,6.4,26,4266,329258351.450556,329257847.07316,1,gap,7.296,7.133,0.08,0.015,1,8228,20000,41.14,4.0
gridplanar_path_tree,grid,grid11,tree,copt-gpu,on,rep2,4000,625,6.4,24,4485,329258556.629423,329255904.427261,1,gap,6.668,6.527,0.067,0.013,1,7309,18750,38.98133333333333,3.5733333333333333
gridplanar_path_tree,grid,grid11,tree,copt-gpu,on,rep3,4000,625,6.4,26,4153,329258288.547933,329258002.012333,1,gap,7.372,7.201,0.088,0.015,1,8334,20000,41.67,4.4
gridplanar_path_tree,grid,grid12,path,copt-gpu,off,rep1,6000,899,6.674082313681868,12,14179,577186506.66357,577185806.23751,1,gap,4.554,4.404,0.086,0.018,0,0,12586,0.0,6.832989035436199
gridplanar_path_tree,grid,grid12,path,copt-gpu,off,rep2,6000,899,6.674082313681868,12,14179,577186506.663567,577185806.23751,1,gap,4.656,4.508,0.084,0.017,0,0,12586,0.0,6.674082313681868
gridplanar_path_tree,grid,grid12,path,copt-gpu,off,rep3,6000,899,6.674082313681868,12,14131,577186482.065218,577185811.609341,1,gap,4.713,4.53,0.118,0.018,0,0,13485,0.0,8.75046347793845
gridplanar_path_tree,grid,grid12,path,copt-gpu,on,rep1,6000,899,6.674082313681868,12,14179,577186506.663572,577185969.159983,1,gap,4.621,4.469,0.087,0.018,1,6644,12586,52.7888129667885,6.912442396313364
gridplanar_path_tree,grid,grid12,path,copt-gpu,on,rep2,6000,899,6.674082313681868,12,14179,577186506.663579,577185969.159997,1,gap,4.655,4.506,0.085,0.018,1,6644,12586,52.7888129667885,6.753535674559034
gridplanar_path_tree,grid,grid12,path,copt-gpu,on,rep3,6000,899,6.674082313681868,12,14179,577186506.663566,577185969.159971,1,gap,4.692,4.539,0.091,0.018,1,6644,12586,52.7888129667885,7.230255839822025
gridplanar_path_tree,grid,grid12,tree,copt-gpu,off,rep1,6000,899,6.674082313681868,21,5532,577186496.896183,577185772.957031,1,gap,5.877,5.633,0.154,0.017,0,0,24273,0.0,6.34449800189511
gridplanar_path_tree,grid,grid12,tree,copt-gpu,off,rep2,6000,899,6.674082313681868,21,5376,577186511.751433,577185780.332693,1,gap,6.014,5.762,0.163,0.017,0,0,24273,0.0,6.715280352655213
gridplanar_path_tree,grid,grid12,tree,copt-gpu,off,rep3,6000,899,6.674082313681868,22,4769,577186352.714508,577185683.286898,1,gap,6.25,5.979,0.179,0.017,0,0,25172,0.0,7.111075798506277
gridplanar_path_tree,grid,grid12,tree,copt-gpu,on,rep1,6000,899,6.674082313681868,21,5361,577186597.972225,577185388.195848,1,gap,5.917,5.712,0.115,0.017,1,11790,24273,48.5724879495736,4.73777448193466
gridplanar_path_tree,grid,grid12,tree,copt-gpu,on,rep2,6000,899,6.674082313681868,22,4738,577186508.309167,577185962.887872,1,gap,6.421,6.2,0.126,0.017,1,12690,25172,50.41315747656126,5.005561735261401
gridplanar_path_tree,grid,grid12,tree,copt-gpu,on,rep3,6000,899,6.674082313681868,22,4601,577186490.711357,577185964.966774,1,gap,6.325,6.108,0.125,0.017,1,12865,25172,51.108374384236456,4.965835054822819
gridplanar_path_tree,grid,grid13,path,copt-gpu,off,rep1,12000,900,13.333333333333334,12,33255,1159320977.891653,1159319416.747724,1,gap,7.474,7.198,0.098,0.044,0,0,12600,0.0,7.777777777777778
gridplanar_path_tree,grid,grid13,path,copt-gpu,off,rep2,12000,900,13.333333333333334,12,33255,1159320977.891664,1159319416.747724,1,gap,7.5,7.227,0.094,0.045,0,0,12600,0.0,7.4603174603174605
gridplanar_path_tree,grid,grid13,path,copt-gpu,off,rep3,12000,900,13.333333333333334,12,33255,1159320977.891657,1159319416.747724,1,gap,7.579,7.298,0.103,0.043,0,0,12600,0.0,8.174603174603174
gridplanar_path_tree,grid,grid13,path,copt-gpu,on,rep1,12000,900,13.333333333333334,12,33255,1159320977.891654,1159319592.860032,1,gap,7.582,7.302,0.105,0.045,1,5291,12600,41.992063492063494,8.333333333333334
gridplanar_path_tree,grid,grid13,path,copt-gpu,on,rep2,12000,900,13.333333333333334,12,33255,1159320977.891662,1159319592.860032,1,gap,7.599,7.273,0.145,0.044,1,5291,12600,41.992063492063494,11.507936507936508
gridplanar_path_tree,grid,grid13,path,copt-gpu,on,rep3,12000,900,13.333333333333334,12,33255,1159320977.891657,1159319592.860032,1,gap,7.6,7.327,0.097,0.042,1,5291,12600,41.992063492063494,7.698412698412699
gridplanar_path_tree,grid,grid13,tree,copt-gpu,off,rep1,12000,900,13.333333333333334,26,7057,1159412926.442279,1159300852.99229,1,gap,9.996,9.56,0.223,0.03,0,0,29700,0.0,7.508417508417509
