instance,optimal
planar30,44350624.0
planar50,122199689.0
planar80,182438133.402
planar100,231339581.854
planar150,548087088.987
planar300,689979137.991
planar500,481982340.002
planar800,1167371383.098
planar1000,3449610922.073
planar2500,12662328108.326
